    PID USER     %MEM COMMAND
   9778 liveuser  0.1 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
  10723 liveuser  0.1 script work.txt
    979 root      0.1 /sbin/auditd
  10939 liveuser  0.1 ps -o pid,user,%mem,command ax
   9779 liveuser  0.1 dbus-broker --log 4 --controller 9 --machine-id be6c18fdc2d9422b81a69ca77546759c --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
  10936 liveuser  0.1 /bin/bash ./killproc.sh
   1035 avahi     0.1 avahi-daemon: running [linux.local]
    403 root      0.0 [xprtiod]
   1037 root      0.0 [xcopy_wq]
     25 root      0.0 [writeback]
    139 root      0.0 [watchdogd]
   1043 root      0.0 /usr/sbin/mcelog --ignorenodev --daemon --foreground
    534 root      0.0 [usb-storage]
    134 root      0.0 [tpm_dev_wq]
   1036 root      0.0 [target_completi]
   1025 root      0.0 [srp_remove]
  10940 liveuser  0.0 sort -b -k3 -r
    533 root      0.0 [scsi_tmf_4]
    156 root      0.0 [scsi_tmf_3]
    154 root      0.0 [scsi_tmf_2]
    151 root      0.0 [scsi_tmf_1]
    149 root      0.0 [scsi_tmf_0]
    532 root      0.0 [scsi_eh_4]
    155 root      0.0 [scsi_eh_3]
    153 root      0.0 [scsi_eh_2]
    150 root      0.0 [scsi_eh_1]
    148 root      0.0 [scsi_eh_0]
    402 root      0.0 [rpciod]
    971 root      0.0 [Register_iWARP_]
    968 root      0.0 [rdma_cm]
     21 root      0.0 [rcu_tasks_kthre]
     10 root      0.0 [rcu_sched]
      4 root      0.0 [rcu_par_gp]
      3 root      0.0 [rcu_gp]
     24 root      0.0 [oom_reaper]
     20 root      0.0 [netns]
      8 root      0.0 [mm_percpu_wq]
     15 root      0.0 [migration/1]
     11 root      0.0 [migration/0]
    136 root      0.0 [md]
    675 root      0.0 [loop2]
    669 root      0.0 [loop1]
    665 root      0.0 [loop0]
    143 root      0.0 [kworker/u5:0]
   9863 root      0.0 [kworker/u4:5-flush-253:0]
  10810 root      0.0 [kworker/u4:2-flush-253:0]
  10903 root      0.0 [kworker/u4:1-events_unbound]
   8257 root      0.0 [kworker/u4:0-events_unbound]
   9205 root      0.0 [kworker/1:3-events]
  10933 root      0.0 [kworker/1:2]
    558 root      0.0 [kworker/1:1H-events_highpri]
  10813 root      0.0 [kworker/1:1-ata_sff]
